Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,-16.9,-112.675,90.0,top
C2,0.1uF,C_0603_1608Metric,-12.7,-112.675,90.0,top
C3,10uF,C_0603_1608Metric,-26.0,-117.0,-90.0,top
J1,Conn_01x04_Pin,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right,-32.405,-121.92,180.0,top
Q1,BSS138,SOT-23,-14.4375,-127.45,0.0,top
Q2,BSS138,SOT-23,-14.4375,-120.95,0.0,top
R1,10k,R_0603_1608Metric,30.2,-136.2,180.0,top
R2,10k,R_0603_1608Metric,30.325,-139.3,180.0,top
R3,10k,R_0603_1608Metric,19.3,-135.3,0.0,top
R4,10k,R_0603_1608Metric,26.2,-142.4,-90.0,top
R5,10k,R_0603_1608Metric,6.075,-135.7,180.0,top
R6,10k,R_0603_1608Metric,6.075,-137.9,180.0,top
R7,10k,R_0603_1608Metric,1.075,-142.5,0.0,top
R8,10k,R_0603_1608Metric,-5.4,-134.8,0.0,top
R9,10k,R_0603_1608Metric,30.0,-109.8,180.0,top
R10,10k,R_0603_1608Metric,29.9,-113.9,180.0,top
R11,10k,R_0603_1608Metric,25.25,-116.625,-90.0,top
R12,10k,R_0603_1608Metric,17.8,-110.8,0.0,top
R13,10k,R_0603_1608Metric,5.155,-110.5,180.0,top
R14,10k,R_0603_1608Metric,5.2,-113.6,180.0,top
R15,10k,R_0603_1608Metric,0.5,-116.5,-90.0,top
R16,10k,R_0603_1608Metric,-5.6,-110.4,0.0,top
R17,10k,R_0603_1608Metric,-25.125,-120.8,0.0,top
R18,10k,R_0603_1608Metric,-26.345,-127.0,0.0,top
R19,10k,R_0603_1608Metric,-10.2,-127.4,90.0,top
R20,10k,R_0603_1608Metric,-10.3,-120.6,90.0,top
R21,10k,R_0603_1608Metric,19.2,-137.9,0.0,top
R22,10k,R_0603_1608Metric,17.7,-114.9,0.0,top
R23,10k,R_0603_1608Metric,-5.3,-114.8,0.0,top
R24,10k,R_0603_1608Metric,-5.4,-137.6,0.0,top
U1,MLX90393SLW-ABA-011-SP,QFN50P300X300X100-17N,25.0,-136.51,0.0,top
U2,MLX90393SLW-ABA-011-SP,QFN50P300X300X100-17N,0.0,-136.51,0.0,top
U3,MLX90393SLW-ABA-011-SP,QFN50P300X300X100-17N,25.0,-111.51,0.0,top
U4,MLX90393SLW-ABA-011-SP,QFN50P300X300X100-17N,0.0,-111.51,0.0,top
U5,AP2112K-3.3,SOT-23-5,-21.6375,-114.55,180.0,top
