Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,143.4,-127.3,-90.0,top
C2,0.1uF,C_0603_1608Metric,141.0,-127.3,-90.0,top
C3,10uF,C_0603_1608Metric,134.5,-127.275,-90.0,top
J1,Conn_02x04_Odd_Even,HDR-SMD_8P-P2.54-H-M-R2-C4_2,132.928944,-112.559974,-90.0,top
M1,~,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,149.842488,-100.0,180.0,top
M2,~,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,174.842488,-100.0,180.0,top
M3,~,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,149.842488,-125.0,180.0,top
M4,~,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,174.842488,-125.0,180.0,top
Q1,BSS138,SOT-23,147.1,-107.8,0.0,top
Q2,BSS138,SOT-23,147.2,-115.7,0.0,top
R1,10k,R_0603_1608Metric,156.0,-128.4,180.0,top
R2,10k,R_0603_1608Metric,177.3,-107.3,90.0,top
R3,10k,R_0603_1608Metric,172.8,-131.4,90.0,top
R4,10k,R_0603_1608Metric,155.675,-103.05,180.0,top
R17,10k,R_0603_1608Metric,145.4,-119.2,0.0,top
R18,10k,R_0603_1608Metric,145.3,-111.95,0.0,top
R19,10k,R_0603_1608Metric,153.8,-107.8,90.0,top
R20,10k,R_0603_1608Metric,153.7,-115.7,90.0,top
U5,AP2112K-3.3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,140.5,-123.255854,-90.0,top
